aggregation,dimension,replicate_pair,n_stimuli,exact_agreement,within_one_category,mean_absolute_difference,rmse,spearman_rho,lin_ccc,quadratic_weighted_kappa
mean,tf,1-3,90,0.26666666666666666,1.0,0.18024691358024697,0.24789926712120763,0.9177199226897438,0.9349273832290552,
mean,tf,2-3,90,0.24444444444444444,1.0,0.18148148148148152,0.2459549291242073,0.9077494946443461,0.9351623154878196,
median,tf,1-2,90,0.8111111111111111,1.0,0.18888888888888888,0.4346134936801766,0.9011364158114802,0.8623861829527539,
median,tf,1-3,90,0.8111111111111111,1.0,0.18888888888888888,0.4346134936801766,0.8821987379367225,0.8502651641603768,
median,tf,2-3,90,0.8555555555555555,0.9888888888888889,0.15555555555555556,0.4216370213557839,0.8657516944740122,0.856887298747763,
trimmed_one_each_tail,tf,1-2,90,0.3,1.0,0.17936507936507945,0.2460573463383584,0.913206965732953,0.945984918422951,
trimmed_one_each_tail,tf,1-3,90,0.36666666666666664,1.0,0.17619047619047618,0.253322591967055,0.9252814868053664,0.9417782341303724,
trimmed_one_each_tail,tf,2-3,90,0.32222222222222224,1.0,0.18412698412698414,0.25376976370427096,0.9102705461627401,0.9402801898591012,
no_self_mean,tf,1-2,90,0.28888888888888886,1.0,0.1736111111111111,0.2503469814299967,0.9072501646250807,0.935055776445663,
no_self_mean,tf,1-3,90,0.2222222222222222,1.0,0.20972222222222223,0.28473915938783145,0.9037915674258445,0.9178178833859236,
no_self_mean,tf,2-3,90,0.2777777777777778,1.0,0.19722222222222222,0.27638539919628335,0.8933785790810881,0.9211309630543467,
mean,mq,1-2,90,0.2,1.0,0.20864197530864195,0.2719134050811504,0.917496886658484,0.9304148517253368,
mean,mq,1-3,90,0.2111111111111111,1.0,0.21111111111111108,0.2657907424890245,0.9128814678841507,0.9338870856040813,
mean,mq,2-3,90,0.2222222222222222,1.0,0.17037037037037045,0.22406642166302485,0.9299439818909605,0.9519680786531532,
median,mq,1-2,90,0.7888888888888889,1.0,0.2111111111111111,0.45946829173634074,0.8666244799980118,0.8665589711173031,
median,mq,1-3,90,0.7333333333333333,1.0,0.26666666666666666,0.5163977794943222,0.8169956676576919,0.8307769447994185,
median,mq,2-3,90,0.8555555555555555,1.0,0.14444444444444443,0.38005847503304596,0.8882780597346567,0.9020474433708149,
trimmed_one_each_tail,mq,1-2,90,0.24444444444444444,1.0,0.22222222222222218,0.2935435239509036,0.9247672150348558,0.9321174049509126,
trimmed_one_each_tail,mq,1-3,90,0.23333333333333334,1.0,0.22857142857142854,0.2927700218845599,0.9114380122929846,0.9326246107214697,
trimmed_one_each_tail,mq,2-3,90,0.23333333333333334,1.0,0.19047619047619044,0.2437425503251376,0.9319079132666295,0.9520911007224343,
no_self_mean,mq,1-2,90,0.2,1.0,0.20555555555555555,0.2667968432263687,0.9215287500396203,0.9350468011409593,
no_self_mean,mq,1-3,90,0.15555555555555556,1.0,0.2375,0.2960973000739978,0.8973566559917189,0.9205046763275535,
no_self_mean,mq,2-3,90,0.2,1.0,0.1875,0.23753654689565376,0.9219791010270412,0.9474795763306988,
mean,risk,1-2,90,0.26666666666666666,1.0,0.14814814814814817,0.19668026736817415,0.9295790538626302,0.9330398791005149,
mean,risk,1-3,90,0.2,1.0,0.16296296296296298,0.21081851067789198,0.8928284561569113,0.923611096557318,
mean,risk,2-3,90,0.34444444444444444,1.0,0.13333333333333333,0.18739423171368175,0.9264876294247855,0.9366054182556579,
median,risk,1-2,90,0.8666666666666667,1.0,0.13333333333333333,0.3651483716701107,0.8375828372788727,0.8496240601503752,
median,risk,1-3,90,0.8666666666666667,1.0,0.13333333333333333,0.3651483716701107,0.8468903485225603,0.8588285189746926,
median,risk,2-3,90,0.8666666666666667,1.0,0.13333333333333333,0.3651483716701107,0.835259243526541,0.8554267763009152,
trimmed_one_each_tail,risk,1-2,90,0.26666666666666666,1.0,0.17777777777777776,0.2332847374079217,0.9153532486898502,0.9228004925529332,
trimmed_one_each_tail,risk,1-3,90,0.23333333333333334,1.0,0.19206349206349202,0.2551065759234071,0.8821066904545005,0.9075502364224846,
trimmed_one_each_tail,risk,2-3,90,0.3,1.0,0.15396825396825395,0.20811212746106814,0.9204950258570234,0.9346054569037247,
no_self_mean,risk,1-2,90,0.3,1.0,0.1638888888888889,0.22282903261868228,0.9154867217355235,0.9135887497340429,
no_self_mean,risk,1-3,90,0.24444444444444444,1.0,0.1763888888888889,0.23607025790358824,0.8799283177136218,0.9050466219505262,
no_self_mean,risk,2-3,90,0.34444444444444444,1.0,0.14027777777777778,0.19676198255195992,0.9215530753053955,0.9289621977936405,
